folder_name,suffix,file_name,delay
science/astronomi_och_rymdfart,/t3279720,1,FALSE
science/astronomi_och_rymdfart,/t2088678,2,FALSE
science/astronomi_och_rymdfart,/t3279775,3,FALSE
science/biologi/ekologi_natur_djur_och_vaxter,/t3279408,1,FALSE
science/biologi/genetik_molekylarbiologi_och_evolutionsbiologi,/t3280084,1,FALSE
science/biologi/genetik_molekylarbiologi_och_evolutionsbiologi,/t3280090,2,FALSE
science/biologi/genetik_molekylarbiologi_och_evolutionsbiologi,/t3114462,3,FALSE
science/biologi/rasforskning,/t3280446,1,FALSE
science/biologi/rasforskning,/t3023315,2,FALSE
science/filosofi,/t2433574,1,FALSE
science/filosofi,/t780398,2,FALSE
